GmHCl (M),Fraction Unfolded
0.176543,-0.00545571
0.358303,0.00220483
0.536284,0.00861074
0.706814,-0.00125885
0.89614,0.00765949
1.24069,0.0267192
1.41511,0.00308655
1.078,0.00155381
1.77871,0.00839584
2.13096,0.0111927
2.39977,0.0276862
2.58513,0.0603794
2.75539,0.0855512
2.8421,0.139437
3.01574,0.218426
3.1058,0.329883
3.19305,0.312435
3.28356,0.365072
3.37379,0.454003
3.46394,0.552945
3.55419,0.639373
3.63749,0.644448
3.72007,0.742133
3.80675,0.799774
3.90868,0.844912
3.99555,0.877523
4.17726,0.891441
4.08606,0.930161
4.36224,0.974193
4.69524,1.01702
4.88465,1.01593
5.06273,1.00857
5.3279,1.00629
5.24138,0.92737
5.41095,1.0439
5.50563,1.04523