GuHCl,H5 0SB Norm
0,0.046108982
0.106,
0.212,0.015795025
0.318,1.171672581
0.424,0.019911402
0.53,
0.636,-0.016289066
0.742,
0.848,-0.039072941
0.954,
1.06,-0.033249118
1.166,
1.272,-0.013529856
1.378,-0.003034704
1.484,-0.028884947
1.59,-0.059007673
1.696,-0.000182466
1.802,0.01051134
1.908,0.007266274
2.014,0.039204262
2.12,0.015876589
2.226,0.026060002
2.332,0.037201471
2.438,0.072751521
2.544,0.102621406
2.65,0.126386105
2.756,0.191279125
2.862,0.283705864
2.968,0.464476551
3.074,0.625734148
3.18,0.736750645
3.286,0.848346808
3.392,0.910396252
3.498,0.944587542
3.604,0.955627818
3.71,0.974252385
3.816,0.984200919
3.922,0.985147794
4.028,0.988947222
4.134,0.99478998
4.24,0.998957379
4.346,1.004376547
4.452,1.003602134
4.558,1.000308739
4.664,1.023751436
4.77,0.99946193
4.876,0.99686367
4.982,1.000255367
5.088,
5.194,0.999270904
5.3,
5.406,1.007084705
5.512,
5.618,1.00072488
5.724,
5.83,0.999965141
5.936,
6.042,0.993555755
6.148,
6.254,1.00012581
6.36,
6.466,1.007402597
6.572,
6.678,1.009709882
6.784,
6.89,0.978650078
6.996,
7.066667,1.000377427