urea,k1,k2
4.3652,0.040611662,
4.5927,0.044135095,
4.7877,0.056523432,
5.0153,0.062455561,
5.2321,0.067292937,
5.4923,0.074982539,
5.7091,0.082545964,
5.9042,0.098381746,
6.1319,0.118114593,
6.3487,0.146431139,
6.6088,0.191072947,
6.8256,0.241980049,
7.0531,0.334573063,
7.2589,0.418679319,
7.4863,0.554987327,
7.692,0.686780873,
7.8977,0.88770127,
8.1357,1.12380472,
8.3628,1.403402998,
8.5898,1.71729435,
8.7735,1.961991443,
9.0002,2.412998102,
0.54545,5.444467743,23.61778429
0.79161,5.93638285,21.23816927
1.0166,6.556782434,21.55698729
1.2418,6.969893884,20.69309356
1.478,6.864066154,17.83744679
1.7036,6.090316191,14.27343333
1.9402,4.810976124,13.19977785
2.1662,4.295637617,11.0507688
2.3924,3.698768772,9.497228318
2.6295,3.084840641,8.324475243
2.856,2.626809521,6.950405478
3.0934,2.041592213,6.688569335
3.2986,1.349804814,5.934602202
3.5255,0.763211569,4.952537146
3.7417,0.397778485,5.201255298
3.9796,0.200789135,5.638398098
4.1744,0.062643209,7.275408771
5.1,,9.974182455
5.45,,17.46152694
5.758333,,18.54128746
6.116667,,24.04675355
6.425,,28.78919088
6.733333,,33.78442846
7.15,,38.86134287
7.516667,,50.40044478
7.875,,77.47846293
8.141666,,68.03348429