Urea,50uM#2 raw data-Baseline trLcrH
0,-138.24766
0.1228,-132.69766
0.2455,-124.43766
0.3683,-127.91766
0.6138,-123.89766
0.8593,-120.33766
1.1048,-104.67766
1.3503,-111.57766
1.5958,-106.07766
1.8413,-97.34566
2.0868,-91.30266
2.3323,-87.76366
2.455,-80.15866
2.5778,-76.98566
2.8233,-76.76366
3.0688,-72.86266
3.3143,-70.56266
3.5598,-66.51466
3.8053,-60.88066
4.0508,-55.48766
4.2963,-41.54166
4.5418,-37.01266
4.7873,-36.76466
5.0328,-25.39766
5.2783,-13.13266
5.5238,-14.04566
5.7693,-11.58726
6.0148,-10.19886
6.2603,-9.17456
6.5058,-8.40166
6.7513,-8.52106
6.9968,-6.32836
7.2423,-6.12066
7.4878,-5.39446
7.7333,-5.69866
7.9788,-5.85256
8.1833,-5.05586